round,class_id,n,acc,bwt,forgetting
1,0,51,0.6666666666666666,,
1,1,45,0.06666666666666667,,
1,2,51,0.0,,
1,3,54,0.0,,
1,4,49,0.0,,
1,5,53,0.0,,
1,6,52,0.038461538461538464,,
1,7,58,0.0,,
1,8,62,0.6612903225806451,,
2,0,51,0.5098039215686274,-0.1568627450980392,0.1568627450980392
2,1,45,0.1111111111111111,0.04444444444444444,0.0
2,2,51,0.058823529411764705,0.058823529411764705,0.0
2,3,54,0.018518518518518517,0.018518518518518517,0.0
2,4,49,0.061224489795918366,0.061224489795918366,0.0
2,5,53,0.32075471698113206,0.32075471698113206,0.0
2,6,52,0.0,-0.038461538461538464,0.038461538461538464
2,7,58,0.034482758620689655,0.034482758620689655,0.0
2,8,62,0.5967741935483871,-0.06451612903225801,0.06451612903225801
3,0,51,0.5490196078431373,-0.11764705882352933,0.11764705882352933
3,1,45,0.1111111111111111,0.04444444444444444,0.0
3,2,51,0.0,0.0,0.058823529411764705
3,3,54,0.0,0.0,0.018518518518518517
3,4,49,0.04081632653061224,0.04081632653061224,0.020408163265306124
3,5,53,0.24528301886792453,0.24528301886792453,0.07547169811320753
3,6,52,0.0,-0.038461538461538464,0.038461538461538464
3,7,58,0.0,0.0,0.034482758620689655
3,8,62,0.7580645161290323,0.09677419354838712,0.0
4,0,51,0.5098039215686274,-0.1568627450980392,0.1568627450980392
4,1,45,0.044444444444444446,-0.02222222222222222,0.06666666666666665
4,2,51,0.0,0.0,0.058823529411764705
4,3,54,0.0,0.0,0.018518518518518517
4,4,49,0.04081632653061224,0.04081632653061224,0.020408163265306124
4,5,53,0.2830188679245283,0.2830188679245283,0.037735849056603765
4,6,52,0.0,-0.038461538461538464,0.038461538461538464
4,7,58,0.0,0.0,0.034482758620689655
4,8,62,0.8387096774193549,0.17741935483870974,0.0
5,0,51,0.5098039215686274,-0.1568627450980392,0.1568627450980392
5,1,45,0.044444444444444446,-0.02222222222222222,0.06666666666666665
5,2,51,0.0392156862745098,0.0392156862745098,0.0196078431372549
5,3,54,0.0,0.0,0.018518518518518517
5,4,49,0.12244897959183673,0.12244897959183673,0.0
5,5,53,0.2641509433962264,0.2641509433962264,0.05660377358490565
5,6,52,0.038461538461538464,0.0,0.0
5,7,58,0.034482758620689655,0.034482758620689655,0.0
5,8,62,0.8387096774193549,0.17741935483870974,0.0
6,0,51,0.43137254901960786,-0.23529411764705876,0.23529411764705876
6,1,45,0.08888888888888889,0.022222222222222227,0.022222222222222213
6,2,51,0.13725490196078433,0.13725490196078433,0.0
6,3,54,0.018518518518518517,0.018518518518518517,0.0
6,4,49,0.20408163265306123,0.20408163265306123,0.0
6,5,53,0.3584905660377358,0.3584905660377358,0.0
6,6,52,0.057692307692307696,0.019230769230769232,0.0
6,7,58,0.08620689655172414,0.08620689655172414,0.0
6,8,62,0.7580645161290323,0.09677419354838712,0.08064516129032262
7,0,51,0.43137254901960786,-0.23529411764705876,0.23529411764705876
7,1,45,0.15555555555555556,0.08888888888888889,0.0
7,2,51,0.19607843137254902,0.19607843137254902,0.0
7,3,54,0.0,0.0,0.018518518518518517
7,4,49,0.22448979591836735,0.22448979591836735,0.0
7,5,53,0.37735849056603776,0.37735849056603776,0.0
7,6,52,0.057692307692307696,0.019230769230769232,0.0
7,7,58,0.13793103448275862,0.13793103448275862,0.0
7,8,62,0.6612903225806451,0.0,0.17741935483870974
8,0,51,0.43137254901960786,-0.23529411764705876,0.23529411764705876
8,1,45,0.2222222222222222,0.15555555555555556,0.0
8,2,51,0.21568627450980393,0.21568627450980393,0.0
8,3,54,0.0,0.0,0.018518518518518517
8,4,49,0.2857142857142857,0.2857142857142857,0.0
8,5,53,0.33962264150943394,0.33962264150943394,0.03773584905660382
8,6,52,0.09615384615384616,0.057692307692307696,0.0
8,7,58,0.1206896551724138,0.1206896551724138,0.01724137931034482
8,8,62,0.5806451612903226,-0.08064516129032251,0.25806451612903225
9,0,51,0.37254901960784315,-0.2941176470588235,0.2941176470588235
9,1,45,0.15555555555555556,0.08888888888888889,0.06666666666666665
9,2,51,0.17647058823529413,0.17647058823529413,0.0392156862745098
9,3,54,0.0,0.0,0.018518518518518517
9,4,49,0.30612244897959184,0.30612244897959184,0.0
9,5,53,0.3584905660377358,0.3584905660377358,0.018867924528301938
9,6,52,0.07692307692307693,0.038461538461538464,0.019230769230769232
9,7,58,0.15517241379310345,0.15517241379310345,0.0
9,8,62,0.5645161290322581,-0.09677419354838701,0.27419354838709675
10,0,51,0.35294117647058826,-0.31372549019607837,0.31372549019607837
10,1,45,0.17777777777777778,0.11111111111111112,0.044444444444444425
10,2,51,0.21568627450980393,0.21568627450980393,0.0
10,3,54,0.0,0.0,0.018518518518518517
10,4,49,0.24489795918367346,0.24489795918367346,0.06122448979591838
10,5,53,0.32075471698113206,0.32075471698113206,0.0566037735849057
10,6,52,0.07692307692307693,0.038461538461538464,0.019230769230769232
10,7,58,0.13793103448275862,0.13793103448275862,0.017241379310344834
10,8,62,0.5161290322580645,-0.14516129032258063,0.32258064516129037
11,0,51,0.0,-0.6666666666666666,0.6666666666666666
11,1,45,0.0,-0.06666666666666667,0.2222222222222222
11,2,51,0.0,0.0,0.21568627450980393
11,3,54,0.0,0.0,0.018518518518518517
11,4,49,0.0,0.0,0.30612244897959184
11,5,53,0.0,0.0,0.37735849056603776
11,6,52,0.0,-0.038461538461538464,0.09615384615384616
11,7,58,0.0,0.0,0.15517241379310345
11,8,62,0.0,-0.6612903225806451,0.8387096774193549
11,9,66,0.15151515151515152,,
11,10,71,0.0,,
11,11,68,0.0,,
11,12,54,0.12962962962962962,,
11,13,66,0.6060606060606061,,
11,14,60,0.0,,
11,15,54,0.018518518518518517,,
11,16,71,0.056338028169014086,,
11,17,60,0.0,,
12,0,51,0.0,-0.6666666666666666,0.6666666666666666
12,1,45,0.0,-0.06666666666666667,0.2222222222222222
12,2,51,0.0392156862745098,0.0392156862745098,0.17647058823529413
12,3,54,0.0,0.0,0.018518518518518517
12,4,49,0.02040816326530612,0.02040816326530612,0.2857142857142857
12,5,53,0.1320754716981132,0.1320754716981132,0.24528301886792456
12,6,52,0.038461538461538464,0.0,0.057692307692307696
12,7,58,0.0,0.0,0.15517241379310345
12,8,62,0.0,-0.6612903225806451,0.8387096774193549
12,9,66,0.030303030303030304,-0.12121212121212122,0.12121212121212122
12,10,71,0.323943661971831,0.323943661971831,0.0
12,11,68,0.17647058823529413,0.17647058823529413,0.0
12,12,54,0.037037037037037035,-0.09259259259259259,0.09259259259259259
12,13,66,0.045454545454545456,-0.5606060606060607,0.5606060606060607
12,14,60,0.2833333333333333,0.2833333333333333,0.0
12,15,54,0.018518518518518517,0.0,0.0
12,16,71,0.2676056338028169,0.21126760563380279,0.0
12,17,60,0.18333333333333332,0.18333333333333332,0.0
13,0,51,0.0,-0.6666666666666666,0.6666666666666666
13,1,45,0.0,-0.06666666666666667,0.2222222222222222
13,2,51,0.0,0.0,0.21568627450980393
13,3,54,0.0,0.0,0.018518518518518517
13,4,49,0.0,0.0,0.30612244897959184
13,5,53,0.0,0.0,0.37735849056603776
13,6,52,0.0,-0.038461538461538464,0.09615384615384616
13,7,58,0.0,0.0,0.15517241379310345
13,8,62,0.0,-0.6612903225806451,0.8387096774193549
13,9,66,0.19696969696969696,0.04545454545454544,0.0
13,10,71,0.22535211267605634,0.22535211267605634,0.09859154929577466
13,11,68,0.04411764705882353,0.04411764705882353,0.1323529411764706
13,12,54,0.16666666666666666,0.037037037037037035,0.0
13,13,66,0.48484848484848486,-0.12121212121212122,0.12121212121212122
13,14,60,0.0,0.0,0.2833333333333333
13,15,54,0.48148148148148145,0.4629629629629629,0.0
13,16,71,0.2676056338028169,0.21126760563380279,0.0
13,17,60,0.0,0.0,0.18333333333333332
14,0,51,0.0,-0.6666666666666666,0.6666666666666666
14,1,45,0.0,-0.06666666666666667,0.2222222222222222
14,2,51,0.0196078431372549,0.0196078431372549,0.19607843137254904
14,3,54,0.0,0.0,0.018518518518518517
14,4,49,0.0,0.0,0.30612244897959184
14,5,53,0.03773584905660377,0.03773584905660377,0.339622641509434
14,6,52,0.0,-0.038461538461538464,0.09615384615384616
14,7,58,0.0,0.0,0.15517241379310345
14,8,62,0.0,-0.6612903225806451,0.8387096774193549
14,9,66,0.07575757575757576,-0.07575757575757576,0.1212121212121212
14,10,71,0.29577464788732394,0.29577464788732394,0.02816901408450706
14,11,68,0.29411764705882354,0.29411764705882354,0.0
14,12,54,0.07407407407407407,-0.05555555555555555,0.09259259259259259
14,13,66,0.10606060606060606,-0.5,0.5
14,14,60,0.3,0.3,0.0
