round,class_id,n,acc,bwt,forgetting
1,0,51,0.11764705882352941,,
1,1,45,0.37777777777777777,,
1,2,51,0.0,,
1,3,54,0.16666666666666666,,
1,4,49,0.2653061224489796,,
1,5,53,0.07547169811320754,,
1,6,52,0.0,,
1,7,58,0.3103448275862069,,
1,8,62,0.04838709677419355,,
2,0,51,0.39215686274509803,0.27450980392156865,0.0
2,1,45,0.022222222222222223,-0.35555555555555557,0.35555555555555557
2,2,51,0.0,0.0,0.0
2,3,54,0.12962962962962962,-0.037037037037037035,0.037037037037037035
2,4,49,0.0,-0.2653061224489796,0.2653061224489796
2,5,53,0.20754716981132076,0.13207547169811323,0.0
2,6,52,0.0,0.0,0.0
2,7,58,0.3103448275862069,0.0,0.0
2,8,62,0.41935483870967744,0.3709677419354839,0.0
3,0,51,0.43137254901960786,0.3137254901960784,0.0
3,1,45,0.044444444444444446,-0.3333333333333333,0.3333333333333333
3,2,51,0.0,0.0,0.0
3,3,54,0.0,-0.16666666666666666,0.16666666666666666
3,4,49,0.0,-0.2653061224489796,0.2653061224489796
3,5,53,0.2641509433962264,0.18867924528301888,0.0
3,6,52,0.0,0.0,0.0
3,7,58,0.3275862068965517,0.017241379310344807,0.0
3,8,62,0.25806451612903225,0.2096774193548387,0.16129032258064518
4,0,51,0.45098039215686275,0.33333333333333337,0.0
4,1,45,0.06666666666666667,-0.3111111111111111,0.3111111111111111
4,2,51,0.0,0.0,0.0
4,3,54,0.0,-0.16666666666666666,0.16666666666666666
4,4,49,0.02040816326530612,-0.2448979591836735,0.2448979591836735
4,5,53,0.3584905660377358,0.2830188679245283,0.0
4,6,52,0.0,0.0,0.0
4,7,58,0.3620689655172414,0.051724137931034475,0.0
4,8,62,0.2903225806451613,0.24193548387096775,0.12903225806451613
5,0,51,0.4117647058823529,0.2941176470588235,0.03921568627450983
5,1,45,0.1111111111111111,-0.26666666666666666,0.26666666666666666
5,2,51,0.058823529411764705,0.058823529411764705,0.0
5,3,54,0.0,-0.16666666666666666,0.16666666666666666
5,4,49,0.04081632653061224,-0.22448979591836737,0.22448979591836737
5,5,53,0.3018867924528302,0.22641509433962265,0.05660377358490565
5,6,52,0.0,0.0,0.0
5,7,58,0.43103448275862066,0.12068965517241376,0.0
5,8,62,0.41935483870967744,0.3709677419354839,0.0
6,0,51,0.39215686274509803,0.27450980392156865,0.05882352941176472
6,1,45,0.17777777777777778,-0.19999999999999998,0.19999999999999998
6,2,51,0.0784313725490196,0.0784313725490196,0.0
6,3,54,0.0,-0.16666666666666666,0.16666666666666666
6,4,49,0.10204081632653061,-0.163265306122449,0.163265306122449
6,5,53,0.3018867924528302,0.22641509433962265,0.05660377358490565
6,6,52,0.0,0.0,0.0
6,7,58,0.4482758620689655,0.13793103448275862,0.0
6,8,62,0.43548387096774194,0.3870967741935484,0.0
7,0,51,0.37254901960784315,0.2549019607843137,0.0784313725490196
7,1,45,0.17777777777777778,-0.19999999999999998,0.19999999999999998
7,2,51,0.0784313725490196,0.0784313725490196,0.0
7,3,54,0.07407407407407407,-0.09259259259259259,0.09259259259259259
7,4,49,0.14285714285714285,-0.12244897959183676,0.12244897959183676
7,5,53,0.32075471698113206,0.24528301886792453,0.037735849056603765
7,6,52,0.0,0.0,0.0
