round,class_id,n,acc,bwt,forgetting
1,0,51,0.0392156862745098,,
1,1,45,0.9777777777777777,,
1,2,51,0.0,,
1,3,54,0.0,,
1,4,49,0.0,,
1,5,53,0.0,,
1,6,52,0.0,,
1,7,58,0.0,,
1,8,62,0.0,,
2,0,51,0.43137254901960786,0.3921568627450981,0.0
2,1,45,0.7111111111111111,-0.2666666666666666,0.2666666666666666
2,2,51,0.0,0.0,0.0
2,3,54,0.0,0.0,0.0
2,4,49,0.0,0.0,0.0
2,5,53,0.0,0.0,0.0
2,6,52,0.0,0.0,0.0
2,7,58,0.0,0.0,0.0
2,8,62,0.0,0.0,0.0
3,0,51,0.3137254901960784,0.27450980392156865,0.11764705882352944
3,1,45,0.7111111111111111,-0.2666666666666666,0.2666666666666666
3,2,51,0.0,0.0,0.0
3,3,54,0.0,0.0,0.0
3,4,49,0.0,0.0,0.0
3,5,53,0.0,0.0,0.0
3,6,52,0.0,0.0,0.0
3,7,58,0.0,0.0,0.0
3,8,62,0.0,0.0,0.0
4,0,51,0.1568627450980392,0.11764705882352941,0.27450980392156865
4,1,45,0.4888888888888889,-0.4888888888888889,0.4888888888888889
4,2,51,0.0,0.0,0.0
4,3,54,0.25925925925925924,0.25925925925925924,0.0
4,4,49,0.30612244897959184,0.30612244897959184,0.0
4,5,53,0.1509433962264151,0.1509433962264151,0.0
4,6,52,0.15384615384615385,0.15384615384615385,0.0
4,7,58,0.0,0.0,0.0
4,8,62,0.08064516129032258,0.08064516129032258,0.0
5,0,51,0.23529411764705882,0.19607843137254902,0.19607843137254904
5,1,45,0.6666666666666666,-0.3111111111111111,0.3111111111111111
5,2,51,0.0,0.0,0.0
5,3,54,0.14814814814814814,0.14814814814814814,0.1111111111111111
5,4,49,0.24489795918367346,0.24489795918367346,0.06122448979591838
5,5,53,0.09433962264150944,0.09433962264150944,0.05660377358490565
5,6,52,0.09615384615384616,0.09615384615384616,0.057692307692307696
5,7,58,0.0,0.0,0.0
5,8,62,0.06451612903225806,0.06451612903225806,0.016129032258064516
6,0,51,0.3137254901960784,0.27450980392156865,0.11764705882352944
6,1,45,0.5555555555555556,-0.42222222222222217,0.42222222222222217
6,2,51,0.0,0.0,0.0
6,3,54,0.2222222222222222,0.2222222222222222,0.037037037037037035
6,4,49,0.24489795918367346,0.24489795918367346,0.06122448979591838
6,5,53,0.09433962264150944,0.09433962264150944,0.05660377358490565
6,6,52,0.09615384615384616,0.09615384615384616,0.057692307692307696
6,7,58,0.0,0.0,0.0
6,8,62,0.20967741935483872,0.20967741935483872,0.0
7,0,51,0.35294117647058826,0.3137254901960784,0.0784313725490196
7,1,45,0.6444444444444445,-0.33333333333333326,0.33333333333333326
7,2,51,0.0,0.0,0.0
7,3,54,0.14814814814814814,0.14814814814814814,0.1111111111111111
7,4,49,0.2857142857142857,0.2857142857142857,0.020408163265306145
7,5,53,0.07547169811320754,0.07547169811320754,0.07547169811320754
7,6,52,0.038461538461538464,0.038461538461538464,0.11538461538461539
7,7,58,0.0,0.0,0.0
