round,class_id,n,acc,bwt,forgetting
1,0,51,0.37254901960784315,,
1,1,45,0.8,,
1,2,51,0.0,,
1,3,54,0.07407407407407407,,
1,4,49,0.0,,
1,5,53,0.0,,
1,6,52,0.0,,
1,7,58,0.0,,
1,8,62,0.0,,
2,0,51,0.47058823529411764,0.0980392156862745,0.0
2,1,45,0.7333333333333333,-0.06666666666666676,0.06666666666666676
2,2,51,0.0,0.0,0.0
2,3,54,0.0,-0.07407407407407407,0.07407407407407407
2,4,49,0.0,0.0,0.0
2,5,53,0.0,0.0,0.0
2,6,52,0.0,0.0,0.0
2,7,58,0.0,0.0,0.0
2,8,62,0.0,0.0,0.0
3,0,51,0.2549019607843137,-0.11764705882352944,0.21568627450980393
3,1,45,0.8,0.0,0.0
3,2,51,0.0,0.0,0.0
3,3,54,0.0,-0.07407407407407407,0.07407407407407407
3,4,49,0.0,0.0,0.0
3,5,53,0.0,0.0,0.0
3,6,52,0.0,0.0,0.0
3,7,58,0.0,0.0,0.0
3,8,62,0.0,0.0,0.0
4,0,51,0.23529411764705882,-0.13725490196078433,0.23529411764705882
4,1,45,0.5777777777777777,-0.22222222222222232,0.22222222222222232
4,2,51,0.0,0.0,0.0
4,3,54,0.037037037037037035,-0.037037037037037035,0.037037037037037035
4,4,49,0.24489795918367346,0.24489795918367346,0.0
4,5,53,0.03773584905660377,0.03773584905660377,0.0
4,6,52,0.07692307692307693,0.07692307692307693,0.0
4,7,58,0.0,0.0,0.0
4,8,62,0.0,0.0,0.0
5,0,51,0.23529411764705882,-0.13725490196078433,0.23529411764705882
5,1,45,0.6888888888888889,-0.11111111111111116,0.11111111111111116
5,2,51,0.0,0.0,0.0
5,3,54,0.037037037037037035,-0.037037037037037035,0.037037037037037035
5,4,49,0.22448979591836735,0.22448979591836735,0.020408163265306117
5,5,53,0.018867924528301886,0.018867924528301886,0.018867924528301886
5,6,52,0.0,0.0,0.07692307692307693
5,7,58,0.0,0.0,0.0
5,8,62,0.0,0.0,0.0
6,0,51,0.21568627450980393,-0.1568627450980392,0.2549019607843137
6,1,45,0.6666666666666666,-0.13333333333333341,0.13333333333333341
6,2,51,0.0,0.0,0.0
6,3,54,0.16666666666666666,0.09259259259259259,0.0
6,4,49,0.40816326530612246,0.40816326530612246,0.0
6,5,53,0.1320754716981132,0.1320754716981132,0.0
6,6,52,0.21153846153846154,0.21153846153846154,0.0
6,7,58,0.017241379310344827,0.017241379310344827,0.0
6,8,62,0.11290322580645161,0.11290322580645161,0.0
7,0,51,0.27450980392156865,-0.0980392156862745,0.196078431372549
7,1,45,0.6666666666666666,-0.13333333333333341,0.13333333333333341
7,2,51,0.0,0.0,0.0
7,3,54,0.09259259259259259,0.018518518518518517,0.07407407407407407
7,4,49,0.22448979591836735,0.22448979591836735,0.1836734693877551
7,5,53,0.09433962264150944,0.09433962264150944,0.037735849056603765
7,6,52,0.09615384615384616,0.09615384615384616,0.11538461538461538
7,7,58,0.0,0.0,0.017241379310344827
7,8,62,0.16129032258064516,0.16129032258064516,0.0
8,0,51,0.39215686274509803,0.019607843137254888,0.0784313725490196
8,1,45,0.6222222222222222,-0.1777777777777778,0.1777777777777778
8,2,51,0.0,0.0,0.0
8,3,54,0.12962962962962962,0.05555555555555555,0.037037037037037035
8,4,49,0.2857142857142857,0.2857142857142857,0.12244897959183676
8,5,53,0.07547169811320754,0.07547169811320754,0.05660377358490566
8,6,52,0.15384615384615385,0.15384615384615385,0.05769230769230768
8,7,58,0.0,0.0,0.017241379310344827
8,8,62,0.12903225806451613,0.12903225806451613,0.03225806451612903
9,0,51,0.43137254901960786,0.05882352941176472,0.039215686274509776
9,1,45,0.6222222222222222,-0.1777777777777778,0.1777777777777778
9,2,51,0.0196078431372549,0.0196078431372549,0.0
9,3,54,0.09259259259259259,0.018518518518518517,0.07407407407407407
9,4,49,0.3877551020408163,0.3877551020408163,0.020408163265306145
9,5,53,0.03773584905660377,0.03773584905660377,0.09433962264150944
9,6,52,0.1346153846153846,0.1346153846153846,0.07692307692307693
9,7,58,0.0,0.0,0.017241379310344827
9,8,62,0.04838709677419355,0.04838709677419355,0.11290322580645161
10,0,51,0.4117647058823529,0.039215686274509776,0.05882352941176472
10,1,45,0.5555555555555556,-0.24444444444444446,0.24444444444444446
10,2,51,0.0,0.0,0.0196078431372549
10,3,54,0.09259259259259259,0.018518518518518517,0.07407407407407407
10,4,49,0.46938775510204084,0.46938775510204084,0.0
10,5,53,0.07547169811320754,0.07547169811320754,0.05660377358490566
10,6,52,0.19230769230769232,0.19230769230769232,0.019230769230769218
10,7,58,0.017241379310344827,0.017241379310344827,0.0
10,8,62,0.11290322580645161,0.11290322580645161,0.04838709677419355
11,0,51,0.0,-0.37254901960784315,0.47058823529411764
11,1,45,0.1111111111111111,-0.6888888888888889,0.6888888888888889
11,2,51,0.0,0.0,0.0196078431372549
11,3,54,0.0,-0.07407407407407407,0.16666666666666666
11,4,49,0.04081632653061224,0.04081632653061224,0.4285714285714286
11,5,53,0.0,0.0,0.1320754716981132
11,6,52,0.0,0.0,0.21153846153846154
11,7,58,0.0,0.0,0.017241379310344827
11,8,62,0.0,0.0,0.16129032258064516
11,9,66,0.5606060606060606,,
11,10,71,0.014084507042253521,,
11,11,68,0.014705882352941176,,
11,12,54,0.037037037037037035,,
11,13,66,0.06060606060606061,,
11,14,60,0.13333333333333333,,
11,15,54,0.037037037037037035,,
11,16,71,0.11267605633802817,,
11,17,60,0.13333333333333333,,
12,0,51,0.0,-0.37254901960784315,0.47058823529411764
12,1,45,0.13333333333333333,-0.6666666666666667,0.6666666666666667
12,2,51,0.0,0.0,0.0196078431372549
12,3,54,0.0,-0.07407407407407407,0.16666666666666666
12,4,49,0.0,0.0,0.46938775510204084
12,5,53,0.018867924528301886,0.018867924528301886,0.11320754716981132
12,6,52,0.0,0.0,0.21153846153846154
12,7,58,0.0,0.0,0.017241379310344827
12,8,62,0.0,0.0,0.16129032258064516
12,9,66,0.15151515151515152,-0.40909090909090906,0.40909090909090906
12,10,71,0.028169014084507043,0.014084507042253521,0.0
12,11,68,0.08823529411764706,0.07352941176470588,0.0
12,12,54,0.07407407407407407,0.037037037037037035,0.0
12,13,66,0.10606060606060606,0.045454545454545456,0.0
12,14,60,0.03333333333333333,-0.1,0.1
12,15,54,0.09259259259259259,0.05555555555555555,0.0
12,16,71,0.2535211267605634,0.1408450704225352,0.0
12,17,60,0.2833333333333333,0.15,0.0
13,0,51,0.0,-0.37254901960784315,0.47058823529411764
13,1,45,0.0,-0.8,0.8
13,2,51,0.0,0.0,0.0196078431372549
13,3,54,0.0,-0.07407407407407407,0.16666666666666666
13,4,49,0.0,0.0,0.46938775510204084
13,5,53,0.0,0.0,0.1320754716981132
13,6,52,0.0,0.0,0.21153846153846154
13,7,58,0.0,0.0,0.017241379310344827
13,8,62,0.0,0.0,0.16129032258064516
13,9,66,0.15151515151515152,-0.40909090909090906,0.40909090909090906
13,10,71,0.014084507042253521,0.0,0.014084507042253521
13,11,68,0.11764705882352941,0.10294117647058823,0.0
13,12,54,0.09259259259259259,0.05555555555555555,0.0
13,13,66,0.13636363636363635,0.07575757575757575,0.0
13,14,60,0.11666666666666667,-0.016666666666666663,0.016666666666666663
13,15,54,0.2962962962962963,0.25925925925925924,0.0
13,16,71,0.5070422535211268,0.39436619718309857,0.0
13,17,60,0.15,0.016666666666666663,0.13333333333333333
14,0,51,0.0,-0.37254901960784315,0.47058823529411764
14,1,45,0.0,-0.8,0.8
14,2,51,0.0,0.0,0.0196078431372549
14,3,54,0.0,-0.07407407407407407,0.16666666666666666
14,4,49,0.0,0.0,0.46938775510204084
14,5,53,0.0,0.0,0.1320754716981132
14,6,52,0.0,0.0,0.21153846153846154
14,7,58,0.0,0.0,0.017241379310344827
14,8,62,0.0,0.0,0.16129032258064516
14,9,66,0.3181818181818182,-0.24242424242424238,0.24242424242424238
14,10,71,0.014084507042253521,0.0,0.014084507042253521
14,11,68,0.04411764705882353,0.029411764705882356,0.07352941176470587
14,12,54,0.16666666666666666,0.12962962962962962,0.0
14,13,66,0.06060606060606061,0.0,0.07575757575757575
14,14,60,0.016666666666666666,-0.11666666666666667,0.11666666666666667
14,15,54,0.2037037037037037,0.16666666666666666,0.09259259259259259
14,16,71,0.647887323943662,0.5352112676056339,0.0
14,17,60,0.1,-0.033333333333333326,0.18333333333333332
15,0,51,0.0,-0.37254901960784315,0.47058823529411764
15,1,45,0.0,-0.8,0.8
15,2,51,0.0,0.0,0.0196078431372549
15,3,54,0.0,-0.07407407407407407,0.16666666666666666
15,4,49,0.0,0.0,0.46938775510204084
15,5,53,0.0,0.0,0.1320754716981132
15,6,52,0.0,0.0,0.21153846153846154
15,7,58,0.0,0.0,0.017241379310344827
15,8,62,0.0,0.0,0.16129032258064516
15,9,66,0.15151515151515152,-0.40909090909090906,0.40909090909090906
15,10,71,0.028169014084507043,0.014084507042253521,0.0
15,11,68,0.029411764705882353,0.014705882352941176,0.08823529411764705
15,12,54,0.1111111111111111,0.07407407407407407,0.05555555555555555
15,13,66,0.09090909090909091,0.030303030303030304,0.04545454545454544
15,14,60,0.05,-0.08333333333333333,0.08333333333333333
15,15,54,0.42592592592592593,0.3888888888888889,0.0
15,16,71,0.6619718309859155,0.5492957746478874,0.0
15,17,60,0.11666666666666667,-0.016666666666666663,0.16666666666666666
16,0,51,0.0,-0.37254901960784315,0.47058823529411764
16,1,45,0.0,-0.8,0.8
16,2,51,0.0,0.0,0.0196078431372549
16,3,54,0.0,-0.07407407407407407,0.16666666666666666
16,4,49,0.0,0.0,0.46938775510204084
16,5,53,0.0,0.0,0.1320754716981132
16,6,52,0.0,0.0,0.21153846153846154
16,7,58,0.0,0.0,0.017241379310344827
16,8,62,0.0,0.0,0.16129032258064516
16,9,66,0.42424242424242425,-0.1363636363636363,0.1363636363636363
16,10,71,0.014084507042253521,0.0,0.014084507042253521
16,11,68,0.029411764705882353,0.014705882352941176,0.08823529411764705
16,12,54,0.16666666666666666,0.12962962962962962,0.0
16,13,66,0.12121212121212122,0.06060606060606061,0.015151515151515138
16,14,60,0.05,-0.08333333333333333,0.08333333333333333
16,15,54,0.48148148148148145,0.4444444444444444,0.0
16,16,71,0.6901408450704225,0.5774647887323944,0.0
16,17,60,0.1,-0.033333333333333326,0.18333333333333332
17,0,51,0.0,-0.37254901960784315,0.47058823529411764
17,1,45,0.0,-0.8,0.8
17,2,51,0.0,0.0,0.0196078431372549
17,3,54,0.0,-0.07407407407407407,0.16666666666666666
17,4,49,0.0,0.0,0.46938775510204084
17,5,53,0.0,0.0,0.1320754716981132
17,6,52,0.0,0.0,0.21153846153846154
17,7,58,0.0,0.0,0.017241379310344827
17,8,62,0.0,0.0,0.16129032258064516
17,9,66,0.24242424242424243,-0.3181818181818181,0.3181818181818181
17,10,71,0.028169014084507043,0.014084507042253521,0.0
17,11,68,0.04411764705882353,0.029411764705882356,0.07352941176470587
17,12,54,0.07407407407407407,0.037037037037037035,0.09259259259259259
17,13,66,0.10606060606060606,0.045454545454545456,0.03030303030303029
17,14,60,0.016666666666666666,-0.11666666666666667,0.11666666666666667
17,15,54,0.5740740740740741,0.537037037037037,0.0
17,16,71,0.647887323943662,0.5352112676056339,0.04225352112676051
17,17,60,0.1,-0.033333333333333326,0.18333333333333332
18,0,51,0.0,-0.37254901960784315,0.47058823529411764
18,1,45,0.0,-0.8,0.8
18,2,51,0.0,0.0,0.0196078431372549
18,3,54,0.0,-0.07407407407407407,0.16666666666666666
18,4,49,0.0,0.0,0.46938775510204084
18,5,53,0.0,0.0,0.1320754716981132
18,6,52,0.0,0.0,0.21153846153846154
18,7,58,0.0,0.0,0.017241379310344827
18,8,62,0.0,0.0,0.16129032258064516
18,9,66,0.48484848484848486,-0.07575757575757569,0.07575757575757569
18,10,71,0.04225352112676056,0.02816901408450704,0.0
18,11,68,0.04411764705882353,0.029411764705882356,0.07352941176470587
18,12,54,0.14814814814814814,0.1111111111111111,0.018518518518518517
18,13,66,0.07575757575757576,0.015151515151515152,0.060606060606060594
18,14,60,0.03333333333333333,-0.1,0.1
18,15,54,0.5555555555555556,0.5185185185185186,0.01851851851851849
18,16,71,0.6901408450704225,0.5774647887323944,0.0
18,17,60,0.1,-0.033333333333333326,0.18333333333333332
19,0,51,0.0,-0.37254901960784315,0.47058823529411764
19,1,45,0.0,-0.8,0.8
19,2,51,0.0,0.0,0.0196078431372549
19,3,54,0.0,-0.07407407407407407,0.16666666666666666
19,4,49,0.0,0.0,0.46938775510204084
19,5,53,0.0,0.0,0.1320754716981132
19,6,52,0.0,0.0,0.21153846153846154
19,7,58,0.0,0.0,0.017241379310344827
19,8,62,0.0,0.0,0.16129032258064516
19,9,66,0.24242424242424243,-0.3181818181818181,0.3181818181818181
19,10,71,0.04225352112676056,0.02816901408450704,0.0
19,11,68,0.07352941176470588,0.058823529411764705,0.044117647058823525
19,12,54,0.12962962962962962,0.09259259259259259,0.037037037037037035
19,13,66,0.15151515151515152,0.09090909090909091,0.0
19,14,60,0.016666666666666666,-0.11666666666666667,0.11666666666666667
19,15,54,0.6296296296296297,0.5925925925925926,0.0
19,16,71,0.7183098591549296,0.6056338028169015,0.0
19,17,60,0.08333333333333333,-0.05,0.2
20,0,51,0.0,-0.37254901960784315,0.47058823529411764
20,1,45,0.0,-0.8,0.8
20,2,51,0.0,0.0,0.0196078431372549
20,3,54,0.0,-0.07407407407407407,0.16666666666666666
20,4,49,0.0,0.0,0.46938775510204084
20,5,53,0.0,0.0,0.1320754716981132
20,6,52,0.0,0.0,0.21153846153846154
20,7,58,0.0,0.0,0.017241379310344827
20,8,62,0.0,0.0,0.16129032258064516
20,9,66,0.5303030303030303,-0.030303030303030276,0.030303030303030276
20,10,71,0.04225352112676056,0.02816901408450704,0.0
20,11,68,0.07352941176470588,0.058823529411764705,0.044117647058823525
20,12,54,0.16666666666666666,0.12962962962962962,0.0
20,13,66,0.07575757575757576,0.015151515151515152,0.07575757575757576
20,14,60,0.05,-0.08333333333333333,0.08333333333333333
20,15,54,0.5740740740740741,0.537037037037037,0.05555555555555558
20,16,71,0.647887323943662,0.5352112676056339,0.07042253521126762
20,17,60,0.11666666666666667,-0.016666666666666663,0.16666666666666666
21,0,51,0.0,-0.37254901960784315,0.47058823529411764
21,1,45,0.0,-0.8,0.8
21,2,51,0.0,0.0,0.0196078431372549
21,3,54,0.0,-0.07407407407407407,0.16666666666666666
21,4,49,0.0,0.0,0.46938775510204084
21,5,53,0.0,0.0,0.1320754716981132
21,6,52,0.0,0.0,0.21153846153846154
21,7,58,0.0,0.0,0.017241379310344827
21,8,62,0.0,0.0,0.16129032258064516
21,9,66,0.0,-0.5606060606060606,0.5606060606060606
21,10,71,0.0,-0.014084507042253521,0.04225352112676056
21,11,68,0.029411764705882353,0.014705882352941176,0.08823529411764705
21,12,54,0.0,-0.037037037037037035,0.16666666666666666
21,13,66,0.0,-0.06060606060606061,0.15151515151515152
21,14,60,0.016666666666666666,-0.11666666666666667,0.11666666666666667
21,15,54,0.25925925925925924,0.2222222222222222,0.3703703703703704
21,16,71,0.0,-0.11267605633802817,0.7183098591549296
21,17,60,0.0,-0.13333333333333333,0.2833333333333333
21,18,66,0.48484848484848486,,
21,19,52,0.0,,
21,20,92,0.0,,
21,21,55,0.0,,
21,22,57,0.8421052631578947,,
21,23,46,0.10869565217391304,,
21,24,48,0.0,,
21,25,81,0.0,,
21,26,73,0.0,,
22,0,51,0.0,-0.37254901960784315,0.47058823529411764
22,1,45,0.0,-0.8,0.8
22,2,51,0.0,0.0,0.0196078431372549
22,3,54,0.0,-0.07407407407407407,0.16666666666666666
22,4,49,0.0,0.0,0.46938775510204084
22,5,53,0.0,0.0,0.1320754716981132
22,6,52,0.0,0.0,0.21153846153846154
22,7,58,0.0,0.0,0.017241379310344827
22,8,62,0.0,0.0,0.16129032258064516
22,9,66,0.0,-0.5606060606060606,0.5606060606060606
22,10,71,0.0,-0.014084507042253521,0.04225352112676056
22,11,68,0.0,-0.014705882352941176,0.11764705882352941
22,12,54,0.0,-0.037037037037037035,0.16666666666666666
22,13,66,0.0,-0.06060606060606061,0.15151515151515152
22,14,60,0.0,-0.13333333333333333,0.13333333333333333
22,15,54,0.0,-0.037037037037037035,0.6296296296296297
22,16,71,0.0,-0.11267605633802817,0.7183098591549296
22,17,60,0.0,-0.13333333333333333,0.2833333333333333
22,18,66,0.45454545454545453,-0.03030303030303033,0.03030303030303033
22,19,52,0.40384615384615385,0.40384615384615385,0.0
22,20,92,0.11956521739130435,0.11956521739130435,0.0
22,21,55,0.0,0.0,0.0
22,22,57,0.05263157894736842,-0.7894736842105263,0.7894736842105263
22,23,46,0.15217391304347827,0.04347826086956523,0.0
22,24,48,0.1875,0.1875,0.0
22,25,81,0.345679012345679,0.345679012345679,0.0
22,26,73,0.136986301369863,0.136986301369863,0.0
23,0,51,0.0,-0.37254901960784315,0.47058823529411764
23,1,45,0.0,-0.8,0.8
23,2,51,0.0,0.0,0.0196078431372549
23,3,54,0.0,-0.07407407407407407,0.16666666666666666
23,4,49,0.0,0.0,0.46938775510204084
23,5,53,0.0,0.0,0.1320754716981132
23,6,52,0.0,0.0,0.21153846153846154
23,7,58,0.0,0.0,0.017241379310344827
23,8,62,0.0,0.0,0.16129032258064516
23,9,66,0.0,-0.5606060606060606,0.5606060606060606
23,10,71,0.0,-0.014084507042253521,0.04225352112676056
23,11,68,0.0,-0.014705882352941176,0.11764705882352941
23,12,54,0.0,-0.037037037037037035,0.16666666666666666
